Detailed solution trace (one move per line)
alpha=1.0, beta=1.0
step	from	to	edge_dist	city_gold_total	taken_here	carry_before	carry_after	move_cost	cumulative_cost	delivered_total_so_far
158	35	47	0.238183	829.959953	829.959953	109.467165	939.427119	26.311412	11709.693431	24784.459618
159	47	28	0.169007	521.151730	0.000000	939.427119	939.427119	158.938482	11868.631913	24784.459618
160	28	0	0.080083	0.000000	0.000000	939.427119	0.000000	75.312099	11943.944013	25723.886737
161	0	26	0.330910	267.708687	0.000000	0.000000	0.000000	0.330910	11944.274923	25723.886737
162	26	3	0.123926	85.359877	85.359877	0.000000	85.359877	0.123926	11944.398848	25723.886737
163	3	26	0.123926	267.708687	0.000000	85.359877	85.359877	10.702198	11955.101046	25723.886737
164	26	0	0.330910	0.000000	0.000000	85.359877	0.000000	28.577344	11983.678390	25809.246614
165	0	17	0.312017	958.600654	0.000000	0.000000	0.000000	0.312017	11983.990407	25809.246614
166	17	40	0.291518	768.878844	768.878844	0.000000	768.878844	0.291518	11984.281925	25809.246614
167	40	17	0.291518	958.600654	0.000000	768.878844	768.878844	224.433757	12208.715683	25809.246614
168	17	0	0.312017	0.000000	0.000000	768.878844	0.000000	240.215629	12448.931312	26578.125458
169	0	14	0.391181	347.522935	347.522935	0.000000	347.522935	0.391181	12449.322493	26578.125458
170	14	0	0.391181	0.000000	0.000000	347.522935	0.000000	136.335595	12585.658088	26925.648393
171	0	38	0.262337	659.763212	659.763212	0.000000	659.763212	0.262337	12585.920424	26925.648393
172	38	0	0.262337	0.000000	0.000000	659.763212	0.000000	173.342378	12759.262802	27585.411605
173	0	28	0.080083	521.151730	0.000000	0.000000	0.000000	0.080083	12759.342885	27585.411605
174	28	47	0.169007	829.959953	0.000000	0.000000	0.000000	0.169007	12759.511892	27585.411605
175	47	2	0.402799	650.196755	650.196755	0.000000	650.196755	0.402799	12759.914691	27585.411605
176	2	47	0.402799	829.959953	0.000000	650.196755	650.196755	262.301571	13022.216262	27585.411605
177	47	28	0.169007	521.151730	0.000000	650.196755	650.196755	110.056613	13132.272876	27585.411605
178	28	0	0.080083	0.000000	0.000000	650.196755	0.000000	52.149703	13184.422579	28235.608360
